CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1993-1006,Dublin Unified School District,1993-1006.pdf (http://cdiacdocs.sto.ca.gov/1993-1006.pdf),SOLD,07/27/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series B,6000000,6000000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,5.636,,TIC,,,08/01/2001 12:00:00 AM,08/01/2015 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Comp,Unknown,Smith Barney Harris Upham & Co Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Brown & Wood,,,,,2.38,142551,0,0,0,142551,0,0,0,0,0,0,0,0,0
2001-1291,Oakland Joint Powers Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/12/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Fruitvale Transit Village Series A,19800000,19800000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,6.076,NIC,,,,07/01/2033 12:00:00 AM,NO,NOT RATED,M:Aa1/VMIG1,NOT RATED,NOT RATED,LOC,Citibank,Neg,Unknown,Salomon Smith Barney,,,,CSG Advisors,,,Jones Hall A Professional Law Corp,,,,BNY Mellon Capital Markets LLC,3.57,706624,,,,230784,,,,,,,,,
2000-1368,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/15/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,20940000,20940000,0,,Other note,"Project, Interim Financing",General fund of issuing jurisdiction,,3.913,NIC,,,,03/01/2001 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,,Quint & Thimmig LLP,,,,Fremont,,,,62192,,,,,,,,,,,
1985-1558,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/10/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 41,2570000,2570000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,9.894,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,1.99,51142,,,,102800,,,,,,,,,
1996-1153,Hayward,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/25/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Civic Center,32595000,32595000,0,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,5.598,NIC,,,,08/01/2026 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Grigsby Brandford & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,Chemical Trust Company of California,1.98,646000,,,,239665,,,,,,,,,
1991-1511,Emeryville Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/19/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,EmeryBay II Apts,4000000,4000000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,8.75,,TIC,,Subject to Alternative Minimum Tax,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,LOC,Security Pacific Capital Markets Group,Neg,Unknown,Donaldson Lufkin Jenrette,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,
2010-1547,Alameda County Industrial Development Authority,2010-1547.pdf (http://cdiacdocs.sto.ca.gov/2010-1547.pdf),SOLD,12/07/2010 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,"DataSafe Inc, Series B",1950000,1950000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Federally Taxable,03/01/2011 12:00:00 AM,12/01/2040 12:00:00 AM,NO,S:AA-/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Bank of the West,Neg,Unknown,Westhoff Cone & Holmstedt,,,,Progressive Capital,,12770,Lofton & Jennings,,,,U.S. Bank National Association,2.36,46076,,,,2437,,21938,,,,1381,,3106,4444
2000-1141,Alameda County Industrial Development Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/29/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,United Manufacturing Assembly Inc Series A,2000000,2000000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,06/01/2030 12:00:00 AM,N/A,S:A/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Wells Fargo Bank National Association,Neg,Unknown,Dain Rauscher,,,,Progressive Capital,,,Lofton De Lancie & Nelson,,,,BNY Mellon Capital Markets LLC,3.49,69773,,,,,,,,,,,,,
2016-0012,Albany,2016-0012.pdf (http://cdiacdocs.sto.ca.gov/2016-0012.pdf),SOLD,01/27/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,4810000,0,4810000,0,Public enterprise revenue bond,"Wastewater Collection, Treatment",Public enterprise revenues,2.169,2.017,,,,,08/01/2024 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,JP Morgan Chase Bank,Hilltop Securities Inc,Steven Gortler,,29500,Jones Hall A Professional Law Corp,,,,The Bank of New York Mellon Trust Company NA,1.83,88250,0,0,0,0,0,15000,0,0,0,5000,0,0,38750
1998-0432,Union City CFD No 97-1,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/23/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Mello-Roos,Community Facilities District,Dyer Street Triangle,8000000,8000000,0,,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,,5.831,NIC,,,,09/01/2028 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,,,Best Best & Krieger LLP,,,,Union Bank of California,1.25,100000,,,,148000,,,,,,,,,
2012-0858,Livermore,2012-0858.pdf (http://cdiacdocs.sto.ca.gov/2012-0858.pdf),SOLD,07/17/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,8310000,0,8310000,215089.05,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,1.195,1.212,,,,,04/01/2017 12:00:00 AM,NO,S:AA,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Comp,NO,Mitsubishi UFJ Securities USA Inc,,,,KNN Public Finance,,40527,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,Union Bank NA,2.71,224871.39,,,,54617.29,,55000,,,,3708,31287.94,13000,26731.16
1989-0455,San Leandro Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/17/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,3250000,3250000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.4,NIC,,,,07/30/1990 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,4861,,,,,,,,,
2014-0004,Dublin Unified School District,2014-0004.pdf (http://cdiacdocs.sto.ca.gov/2014-0004.pdf),SOLD,01/28/2014 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,25000000,25000000,0,4625000,Bond anticipation note,K-12 School Facility,Bond proceeds,1.249,1.377,,,,,02/01/2019 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,NO,JP Morgan Securities LLC,,,,KNN Public Finance,,37945,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,0.97,241500,0,0,0,121500,0,33000,0,20000,0,1640.68,0,9000,18414.32
2012-0445,San Leandro,2012-0445.pdf (http://cdiacdocs.sto.ca.gov/2012-0445.pdf),SOLD,03/14/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,18305000,0,18305000,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,,4.718,NIC,,Federally Taxable,,06/01/2024 12:00:00 AM,NO,S:A+,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,Wedbush Securities Inc,,,,The PFM Group/Public Financial Management Inc,,56631.25,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,1.71,312454.75,,,,121423.5,,51500,,25000,,3900,,32000,22000
1996-1258,Dublin Unified School District,1996-1258.pdf (http://cdiacdocs.sto.ca.gov/1996-1258.pdf),SOLD,08/07/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series C,4995219,4995219,0,0,General obligation bond,"Other, Multiple Educational Uses (Equipment, etc.)",Property tax revenues,5.961,,TIC,,,,08/01/2021 12:00:00 AM,YES,NOT RATED,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,BA Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Brown & Wood,,,,First Trust of California NA,4.5,224880,0,0,0,124880,0,0,0,0,0,0,0,0,100000
1998-0527,Fremont-Newark Community College District (CCCFA),None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/04/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,Community College District,CCCFA 1998 TRAN Pool Series A,2650000,2650000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.853,NIC,,,,06/30/1999 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,Sutro & Company Inc,,,Stradling Yocca Carlson & Rauth,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,
1996-1422,Newark,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/03/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Area ID No 30,90076,90076,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,7.25,NIC,,,,09/02/2012 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Robert S Kelley Trst,,,,,,,Sturgis Ness Brunsell & Assaf,,,,Newark,15.37,13848,,,,0,,,,,,,,,
1997-0375,Peralta Community College District,1997-0375.pdf (http://cdiacdocs.sto.ca.gov/1997-0375.pdf),SOLD,05/29/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,Community College District,Series C,8000000,8000000,0,,General obligation bond,"College, University Facility",General fund of issuing jurisdiction,5.464,,TIC,,,08/01/2005 12:00:00 AM,08/01/2021 12:00:00 AM,NO,NOT RATED,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Smith Barney Inc,,,,Dale Scott & Associates Inc,,,Orrick Herrington & Sutcliffe LLP,Lofton De Lancie & Nelson,,,First Trust of California NA,0,0,,,,0,,,,,,,,,
2015-0472,Dublin Unified School District,2015-0472.pdf (http://cdiacdocs.sto.ca.gov/2015-0472.pdf),SOLD,04/09/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series B,40620000,40620000,0,1795244.8,General obligation bond,K-12 School Facility,Property tax revenues,3.305,3.516,,,,08/01/2024 12:00:00 AM,08/01/2045 12:00:00 AM,NO,S:AA-,M:Aa2,NOT RATED,NOT RATED,,,Comp,NO,Bank of America Merrill Lynch,,,,KNN Public Finance,,34775,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,0.58,236303.52,0,0,0,57582.1,0,75000,0,11875,0,1585,0,38973.2,16513.22
2005-0444,San Lorenzo Unified School District,2005-0444.pdf (http://cdiacdocs.sto.ca.gov/2005-0444.pdf),SOLD,04/28/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,20000000,20000000,0,443640,General obligation bond,K-12 School Facility,Property tax revenues,,4.392,NIC,,,08/01/2013 12:00:00 AM,09/01/2029 12:00:00 AM,NO,S:AAA/A+,M:Aaa/A2,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Morgan Stanley Dean Witter,,,,Northcross Hill & Ach,,47567.5,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,2.21,442800,0,0,0,236900,0,65000,0,15000,0,1200,45900,25000,6232.5
1987-0509,Hayward,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/01/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Whitesell St LID No 14,1330000,1330000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Tax increment,,8.535,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Miller & Schroeder Financial Inc,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,2.09,27759,,,,39900,,,,,,,,,
2015-2190,Hayward,2015-2190.pdf (http://cdiacdocs.sto.ca.gov/2015-2190.pdf),SOLD,09/30/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Library/Community Learning Center/Fire Station & Training Center,67535000,67535000,0,589045.55,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,6.166,3.258,,,,11/01/2023 12:00:00 AM,11/01/2034 12:00:00 AM,NO,S:AA,NOT RATED,F:AA,NOT RATED,Oth,Build America Mutual Assurance Company/BAM,Comp,NO,Morgan Stanley & Co LLC,,,,NHA Advisors,,65000,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,The Bank of New York Mellon Trust Company NA,1.28,862597.03,501597.03,0,0,501597.03,0,75000,0,35000,0,2250,20000,68000,95750
2007-0898,Oakland,2007-0898.pdf (http://cdiacdocs.sto.ca.gov/2007-0898.pdf),SOLD,06/28/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Series A,65000000,65000000,0,531050,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,3.67,,TIC,,,,07/11/2008 12:00:00 AM,NO,S:SP-1+,M:MIG1,F:F1+,NOT RATED,,,Comp,Unknown,UBS Securities LLC,,,,The PFM Group/Public Financial Management Inc,,15000,Orrick Herrington & Sutcliffe LLP,,,,The Bank of New York Trust Company,0.07,43650,,,,13650,,,,15000,,,,,
2008-1193,Alameda County Industrial Development Authority,2008-1193.pdf (http://cdiacdocs.sto.ca.gov/2008-1193.pdf),SOLD,11/25/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Golden West Paper Converting Corp Series B,1145000,1145000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Federally Taxable,02/01/2009 12:00:00 AM,11/01/2033 12:00:00 AM,NO,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Comerica Bank,Neg,Unknown,Westhoff Cone & Holmstedt,,,,Progressive Capital,,4197.11,Lofton & Jennings,,,,,3.92,44850.24,,,,1431.25,,16052.09,,,,589.07,16935.69,,5645.03
1989-0614,Livermore,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/26/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Springtown Golf Course,4270000,0,4270000,,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,,7.154,NIC,,,,,N/A,S:BBB+,M:A,NOT RATED,NOT RATED,,,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,,,,Jones Hall Hill & White,,,,,1.82,77600,,,,85400,,,,,,,,,
1997-0261,Alameda County Industrial Development Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/13/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,DiCon Fiberoptics Inc,4825000,4825000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,05/01/2003 12:00:00 AM,N/A,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Wells Fargo Bank National Association,Neg,Unknown,John Nuveen & Company Inc,,,,Progressive Capital,,,Webster & Anderson,,,,Harris Trust Company of California,2.67,129000,,,,0,,,,,,,,,
2009-0006,Oakland Redevelopment Agency,2009-0006.pdf (http://cdiacdocs.sto.ca.gov/2009-0006.pdf),SOLD,05/06/2009 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Central Dist,38755000,38755000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,8.492,NIC,,Federally Taxable,05/21/2009 12:00:00 AM,09/01/2020 12:00:00 AM,NO,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Oakland Joint Powers Financing Authority,,,,KNN Public Finance,,73000,Jones Hall A Professional Law Corp,,,,The Bank of New York Mellon Trust Company NA,1.55,601081,251520,,30561,282081,,65000,,,,3000,,15000,163000
1989-0456,San Lorenzo Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/17/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,4100000,4100000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.4,NIC,,,,07/30/1990 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,6133,,,,,,,,,
1995-1631,New Haven Unified School District,1995-1631.pdf (http://cdiacdocs.sto.ca.gov/1995-1631.pdf),SOLD,11/28/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series D,23500142,23500142,0,0,General obligation bond,K-12 School Facility,Property tax revenues,5.92,,TIC,,,08/01/2003 12:00:00 AM,08/01/2020 12:00:00 AM,YES,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Neg,Unknown,BA Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,Bank of America NT & SA,3.33,783654,0,0,0,587504,0,0,0,0,0,0,0,0,196150
1988-1039,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/22/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Pension Obligation,209835000,8026985,201808015,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,,7.58,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Pryor GovanCounts & Company,,,,,,,Alexander Millner & McGee,,,,,1.24,2609408,,,,0,,,,,,,,,
1987-0676,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/25/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Oakland Museum,35310000,8781965,26528035,,Certificates of participation/leases,Public Building,Tax increment,8.213,,TIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Goldman Sachs & Company,,,,,,,Morrison & Foerster,,,,,17.32,6116290.52,,,,162696,,,,,,,,,
1992-0313,Alameda,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/21/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Harbor Bay Bus Prk AD No 92-1,29288000,0,29288000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.55,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Grigsby Brandford Powell Inc,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,489834,,,,,,,,,
2016-3916,Livermore CFD No 2016-2,2016-3916.pdf (http://cdiacdocs.sto.ca.gov/2016-3916.pdf),SOLD,12/13/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Mello-Roos,Community Facilities District,Shea Properties,10015000,0,10015000,-271880.25,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,4.626,4.35,,,,09/01/2024 12:00:00 AM,09/01/2036 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Brandis Tallman LLC,,,,KNN Public Finance,,55110,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,MUFG/Mitsubishi UFG Union Bank,2.91,291548.21,100150,0,0,100150,0,55000,0,26720,0,4500,0,16500,33568.21
2008-0912,Livermore,2008-0912.pdf (http://cdiacdocs.sto.ca.gov/2008-0912.pdf),SOLD,11/05/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,"Fire Station No 9, East Bay Reg Comm Syst & Las Positas Golf Course",63000000,7105050,55894950,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,3.011,NIC,,,,10/01/2030 12:00:00 AM,NO,S:AAA/A-1/,NOT RATED,NOT RATED,NOT RATED,LOC,Allied Irish Bank,Neg,Unknown,Barclays Capital Inc,,,,KNN Public Finance,,90000,Jones Hall A Professional Law Corp,,,,Union Bank of California,0.8,501536.16,,,,88006.5,,85000,,,,8781,80848.66,28200,120700
